,/api/nationbuilder,/api/oodle,/api/yahoo-search-marketing,/api/google-maps,/api/heroku,/api/twitter,/api/yahoo-related-suggestions,/api/google-adsense,/api/amazon-product-advertising,/api/yahoo-term-extraction,/api/ebay,/api/shoppingcom,/api/microsoft-bing-maps,/api/commission-junction,/api/zanox,/api/zemanta
Mashup: MotionMall,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: OfferTrack,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
Mashup: Amazon Mall using Product Advertising API,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Targeted Engagement,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Spot-On,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: billboardmart.com,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Mashup: twtAd,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: Adtegrity,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: abramex,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: Texsy Ads,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Mashup: Local RVs,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
