,/api/campfire,/api/twitter,/api/citygrid,/api/campaign-monitor,/api/factual-v3,/api/zoominfo,/api/google-maps-flash,/api/angellist,/api/linkedin,/api/corpwatch,/api/flickr,/api/google-app-engine,/api/google-maps-data,/api/zemanta,/api/facebook,/api/geonames,/api/amazon-s3,/api/google-analytics-managment,/api/mailchimp,/api/google-geocoding,/api/yipit,/api/tropo-scripting,/api/bitly,/api/google-maps,/api/basecamp
Mashup: Bontq,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: Notifire,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mashup: Joomailer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Mashup: CrocTail Corporate Watch,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: Firmendb,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
Mashup: PlanZap,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
Mashup: Explore To Yellow Pages,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
Mashup: MICE Meets Metropolis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: Social Salesforce,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Startup Watch,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
