,/api/google-search,/api/flickr,/api/google-maps,/api/twitter,/api/youtube
Mashup: Nova Scotia Cottage Rentals,0,0,1,0,0
Mashup: Montreal Transit Planner,0,1,1,0,0
Mashup: Rent Spot Canada,0,0,1,0,0
Mashup: Wineries of Ontario,0,0,1,0,0
Mashup: My City Now,1,1,0,1,1
Mashup: Halifax Attractions Map,0,0,1,0,0
Mashup: Canada Post Tracking,0,0,1,0,0
Mashup: Toronto Restaurants Map,0,0,1,0,0
Mashup: Edmonton Attractions Map,0,0,1,0,0
Mashup: Toronto Lofts,0,0,1,0,0
Mashup: Rent Compass for Android,0,0,1,0,0
Mashup: Calgary Mapped,0,0,1,0,0
Mashup: Cut Your Own Christmas Tree: Ottawa Area Tree Farms Map,0,0,1,0,0
Mashup: Apartments for Rent - RentCompass,0,0,1,0,0
