,/api/amazon-historical-pricing,/api/facebook,/api/geocoder,/api/mapquest,/api/google-maps,/api/yahoo-geocoding,/api/google-earth,/api/your-mapper,/api/google-analytics-managment,/api/google-app-engine,/api/flickr,/api/amazon-product-advertising,/api/your-mapper-crimescore,/api/youtube,/api/foursquare
Mashup: Louisville Metro Crime Reports,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Trackle,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0
Mashup: BerkeleyCA crimelog.org,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Mashup: square-anoia,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
Mashup: SpotCrime,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: CrimeinDC.org,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: Madoff Victim Map,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: Are You Safe San Francisco,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Mashup: AreYouSafe,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: University Crime Mapping,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: MurderMap London,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: Leawood Crime Mapping,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: SafetyCheck,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
