,/api/oodle,/api/google-search,/api/geonames,/api/google-maps,/api/google-adsense,/api/ebay,/api/youtube
Mashup: Local Bike Trader,1,0,0,1,1,0,1
Mashup: Bicycle Portal,0,0,0,1,0,0,0
Mashup: Salt Lake Cycling,0,0,0,1,0,0,0
Mashup: RideDog,0,0,1,1,0,0,0
Mashup: Bikewatch,0,0,0,1,0,0,0
Mashup: Crankfire.com,0,0,0,1,0,0,0
Mashup: Reedy Creek Greenway,0,0,0,1,0,0,0
Mashup: TrailChaser,0,0,0,1,0,0,0
Mashup: VeloNews.net,0,1,0,0,0,0,0
Mashup: Motorcycles Nearby,0,0,0,1,0,1,0
Mashup: Bikely,0,0,0,1,0,0,0
Mashup: Paris Cycle Route,0,0,0,1,0,0,0
