,/api/snipshot,/api/google-search,/api/zotero,/api/hpe-haven-ondemand-view-document,/api/scribd-ipaper,/api/scribd-platform,/api/google-documents-list,/api/docusign-enterprise,/api/box,/api/google-drive,/api/dropbox,/api/mendeley
Mashup: Drawloop Dynamic Document Packages,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: Eldoxea,0,0,0,0,0,0,1,0,0,0,0,0
Mashup: Cloud Elements- Documents Hub,0,0,0,0,0,0,0,0,1,1,1,0
Mashup: PaperShip,0,0,1,0,0,0,0,0,0,0,0,1
Mashup: AnythingToHTML,0,0,0,1,0,0,0,0,0,0,0,0
Mashup: iPaper and Box.net,0,0,0,0,1,0,0,0,1,0,0,0
Mashup: Snipshot and Box.net,1,0,0,0,0,0,0,0,1,0,0,0
Mashup: rOpenSci,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: Box.net and Live Documents,0,0,0,0,0,0,0,0,1,0,0,0
Mashup: KinSync,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: iSpeech and Box.net,0,0,0,0,0,0,0,0,1,0,0,0
Mashup: Scholarley,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: View Docs Online,0,0,0,0,1,1,0,0,0,0,0,0
Mashup: DocJax Document Search Engine,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: Drawloop LOOPlus,0,0,0,0,0,0,0,1,0,0,0,0
