,/api/pixabay-free-images,/api/twitter,/api/bbc-nitro,/api/youtube,/api/thisnext,/api/jigsaw,/api/eventful,/api/instagram-graph,/api/yelp-fusion,/api/lastfm,/api/favqs,/api/flickr,/api/wikipedia,/api/facebook,/api/fitbit,/api/geonames,/api/social-share-count,/api/jawbone,/api/pinterest-domain,/api/zvents,/api/bing,/api/google-maps,/api/openstreetmap,/api/i2space,/api/411sync,/api/yahoo-query-language-graphql,/api/foursquare,/api/netflix
Mashup: BBC Browser,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Soundsgud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: Profile Feeder,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mashup: Wokamon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: Flickd Movies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: WeGooo,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
Mashup: Gossipgrind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mashup: Karaoke2U,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: cantanding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Pixaquote,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: CelebDomain,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Mashup: Hen Night and Bachelorette Planning and Invite Site,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mashup: NiteFly: The Future of Nightlife,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Mashup: People Magazine Headlines Mobile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
