,/api/daylife,/api/facebook-graph,/api/bing-maps,/api/google-maps,/api/google-static-maps,/api/twitter,/api/edmundscom-vehicle,/api/google-earth,/api/your-mapper,/api/microsoft-bing-maps,/api/youtube,/api/amazon-product-advertising,/api/carma,/api/foursquare,/api/ip2location,/api/amee
Mashup: Gulf Oil Spill - Latest YouTube Videos,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Mashup: California Environment Report: Cleanup Sites and Permitted Facilities,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Mashup: UK Carbon Footprint Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: AMEE Location Footprinter,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Mashup: Ask AMEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: Car Emissions Calculator,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Mashup: Freally,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Mashup: MapEcos Pollution Mashup,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Relight New York,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mashup: Renewable and Nuclear Energy Widget,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mashup: Exquisite Organics,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: Recycling in Torrance CA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Mapping the Green Economy: California,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: TreeHugger GRNDX Green Index,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: One Block Off The Grid,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Endangered Destinations,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Map of U.S. Toxic Air Emissions,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
