,/api/google-geocoding,/api/google-fusion-tables,/api/google-maps,/api/flickr,/api/google-visualization,/api/youtube,/api/wikipedia,/api/microsoft-bing-maps,/api/google-maps-flash
Mashup: The American Civil War Timeline Project,0,0,1,0,0,0,0,0,0
Mashup: HistoGrafica,0,0,0,0,0,0,0,0,1
Mashup: The American Image,0,0,0,1,0,0,0,0,0
Mashup: See Bournemouth UK,0,0,1,0,0,0,0,0,0
Mashup: Via Claudia Augusta,0,0,1,0,0,0,0,0,0
Mashup: Island Eye,0,0,1,0,0,0,0,0,0
Mashup: Burien Streetcar Line,0,0,0,0,0,0,0,1,0
Mashup: Early Gothic Architecture in France,0,0,1,0,0,0,0,0,0
Mashup: Moment Tracker,0,0,1,0,0,0,0,0,0
Mashup: World War Two Timeline Project,0,0,1,0,0,0,0,0,0
Mashup: Time Machine,0,0,0,0,0,1,1,0,0
"Mashup: Monuments: Diversity, Democracy and Freedom",0,0,1,0,1,0,0,0,0
Mashup: Historic Places in North America,1,1,1,0,0,0,0,0,0
