,/api/citygrid,/api/hotelscombined,/api/amazon-product-advertising,/api/youtube,/api/yelp-fusion,/api/google-cloud-translation,/api/flickr,/api/yahoo-geocoding,/api/amazon-simpledb,/api/wikipedia,/api/google-spreadsheets,/api/facebook,/api/panoramio,/api/commission-junction,/api/sletohcom,/api/expedia,/api/holidays-service,/api/geocoder,/api/google-maps,/api/google-earth
Mashup: e-HotelBase.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Mashup: Compare Hotels in Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Mashup: Compare Hotel Prices,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: TVtrip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: HotelMapSearch.com,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: Hotel Locator,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Mashup: Dublin Hotels Map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: Triporia Hotel Search,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: Urban Hotel Reservations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: Gallipoli Italian B-and-B Guide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mashup: AirportHotels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Mashup: Spot a Hotel,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0
Mashup: Giverny France Hotels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: Budget Bellhop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: Hotel Comparison Widget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Mashup: Premier Inn Hotels Route Planner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: Whistler Hotels Map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mashup: Take Kerala (India),0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
Mashup: Clickincity Food and Travel Guide,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Search Hotels on the Map,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Mashup: TripBuster.co.uk,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
